SN,open,high,low,close,change,pct_change,turnover,date
131,"2,839.87","2,874.80","2,796.66","2,803.62",-30.51,-1.08,"8,033,212,742.00",2022-01-12
132,"2,792.63","2,847.38","2,771.64","2,834.13",49.19,1.77,"6,724,526,197.50",2022-01-11
133,"2,772.09","2,804.84","2,756.03","2,784.95",19.43,0.70,"7,123,424,035.00",2022-01-10
134,"2,699.87","2,770.06","2,699.87","2,765.51",73.05,2.71,"7,101,831,591.11",2022-01-09
135,"2,647.76","2,692.47","2,633.91","2,692.47",43.29,1.63,"3,676,846,349.00",2022-01-06
136,"2,687.75","2,699.94","2,641.61","2,649.18",-30.77,-1.15,"4,621,598,583.00",2022-01-05
137,"2,619.22","2,679.95","2,594.22","2,679.95",63.01,2.41,"4,320,269,828.00",2022-01-04
138,"2,595.22","2,634.54","2,594.04","2,616.94",32.03,1.24,"4,533,017,178.57",2022-01-03
139,"2,538.25","2,584.91","2,529.88","2,584.91",60.41,2.39,"4,126,980,067.52",2022-01-02
140,"2,520.55","2,538.65","2,513.14","2,524.50",5.51,0.22,"3,623,480,292.00",2021-12-29
141,"2,523.87","2,533.26","2,487.41","2,518.99",-2.66,-0.11,"3,125,575,632.00",2021-12-28
142,"2,600.21","2,615.47","2,518.80","2,521.65",-69.77,-2.69,"5,607,439,671.00",2021-12-27
143,"2,531.43","2,595.71","2,531.43","2,591.42",71.20,2.82,"5,173,200,503.00",2021-12-26
144,"2,522.51","2,542.11","2,485.55","2,520.23",12.53,0.50,"4,490,266,410.00",2021-12-23
145,"2,425.05","2,508.46","2,425.05","2,507.70",92.16,3.82,"4,523,338,143.00",2021-12-22
146,"2,360.33","2,415.55","2,360.33","2,415.55",56.73,2.41,"2,383,259,847.00",2021-12-21
147,"2,390.81","2,390.81","2,346.96","2,358.81",-17.93,-0.75,"2,464,689,863.00",2021-12-20
148,"2,415.77","2,417.21","2,372.87","2,376.74",-37.87,-1.57,"2,301,751,968.00",2021-12-16
149,"2,433.20","2,490.62","2,379.30","2,414.62",-4.23,-0.17,"4,588,390,678.00",2021-12-15
150,"2,283.67","2,418.85","2,283.67","2,418.85",137.18,6.01,"1,842,647,144.00",2021-12-14
151,"2,351.93","2,351.93","2,259.63","2,281.67",-79.57,-3.37,"3,995,604,178.00",2021-12-13
152,"2,448.66","2,455.56","2,360.67","2,361.27",-88.70,-3.62,"3,382,509,520.00",2021-12-12
153,"2,454.41","2,464.70","2,428.84","2,449.97",-5.84,-0.24,"2,673,308,792.00",2021-12-09
154,"2,508.28","2,511.60","2,448.91","2,455.80",-53.10,-2.12,"2,663,909,620.00",2021-12-08
155,"2,549.36","2,590.39","2,506.61","2,508.90",-37.18,-1.46,"3,128,341,700.27",2021-12-07
156,"2,508.96","2,548.98","2,440.24","2,546.08",32.22,1.28,"4,542,345,271.00",2021-12-06
157,"2,586.82","2,586.95","2,505.13","2,513.87",-72.32,-2.80,"4,090,765,325.00",2021-12-05
158,"2,633.63","2,641.96","2,580.68","2,586.19",-47.47,-1.80,"3,413,589,126.00",2021-12-02
159,"2,628.68","2,649.80","2,628.68","2,633.65",5.28,0.20,"2,742,085,704.00",2021-12-01
160,"2,630.32","2,647.85","2,604.43","2,628.37",-1.60,-0.06,"3,089,041,991.00",2021-11-30
161,"2,650.54","2,677.63","2,622.32","2,629.97",-21.51,-0.81,"4,008,937,133.00",2021-11-29
162,"2,730.75","2,730.75","2,644.91","2,651.49",-80.29,-2.94,"5,835,135,055.00",2021-11-28
163,"2,736.84","2,746.06","2,721.38","2,731.78",-3.22,-0.12,"3,789,709,331.00",2021-11-25
164,"2,737.09","2,742.35","2,694.62","2,735.00",1.89,0.07,"4,217,415,337.00",2021-11-24
165,"2,765.67","2,765.67","2,720.03","2,733.12",-32.31,-1.17,"4,165,896,578.00",2021-11-23
