,Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
720,2020-12-31,3.0,19506.0,19125.0,19150.0,30.0,577810.0,18850.0,300.0
721,2021-01-03,6.0,19600.0,19110.0,19110.0,60.0,1162170.0,19150.0,-40.0
722,2021-01-04,7.0,19200.0,18900.0,19000.0,70.0,1330100.0,19110.0,-110.0
723,2021-01-05,3.0,18890.0,18889.0,18889.0,30.0,566680.0,19000.0,-111.0
724,2021-01-06,5.0,19000.0,18669.0,18780.0,60.0,1129560.0,18889.0,-109.0
725,2021-01-07,10.0,19100.0,18802.0,18802.0,110.0,2082490.0,18780.0,22.0
726,2021-01-10,13.0,19561.0,19178.0,19300.0,140.0,2710420.0,18802.0,498.0
727,2021-01-11,3.0,19593.0,19589.0,19589.0,30.0,587740.0,19300.0,289.0
728,2021-01-12,4.0,19550.0,19300.0,19310.0,40.0,776100.0,19589.0,-279.0
729,2021-01-13,12.0,19688.0,19400.0,19688.0,140.0,2739260.0,19310.0,378.0
730,2021-01-17,11.0,20081.0,19800.0,19802.0,120.0,2388820.0,19688.0,114.0
731,2021-01-18,9.0,20502.0,20050.0,20489.0,90.0,1826430.0,19802.0,687.0
732,2021-01-19,24.0,20800.0,20106.0,20700.0,275.0,5635640.0,20489.0,211.0
733,2021-01-20,3.0,20310.0,20300.0,20300.0,30.0,609100.0,20700.0,-400.0
734,2021-01-21,15.0,20550.0,20139.0,20450.0,220.0,4479690.0,20300.0,150.0
735,2021-01-24,16.0,20500.0,20190.0,20440.0,200.0,4068200.0,20450.0,-10.0
736,2021-01-25,9.0,20440.0,20110.0,20150.0,185.0,3728550.0,20440.0,-290.0
737,2021-01-26,7.0,20160.0,20000.0,20001.0,90.0,1803160.0,20150.0,-149.0
738,2021-01-27,6.0,20080.0,19750.0,19750.0,80.0,1586020.0,20001.0,-251.0
739,2021-01-28,11.0,20250.0,19750.0,20250.0,130.0,2602810.0,19750.0,500.0
740,2021-01-31,6.0,20250.0,19450.0,19460.0,60.0,1179060.0,20250.0,-790.0
741,2021-02-01,7.0,20245.0,19849.0,20001.0,79.0,1588105.0,19460.0,541.0
742,2021-02-02,6.0,20200.0,19605.0,20000.0,60.0,1196020.0,20001.0,-1.0
743,2021-02-03,4.0,19700.0,19600.0,19600.0,40.0,787000.0,20000.0,-400.0
744,2021-02-04,7.0,19800.0,19401.0,19800.0,90.0,1759010.0,19600.0,200.0
745,2021-02-07,9.0,20430.0,20000.0,20022.0,98.0,1977380.0,19800.0,222.0
746,2021-02-08,6.0,20000.0,19985.0,19990.0,60.0,1199750.0,20022.0,-32.0
747,2021-02-09,2.0,20000.0,20000.0,20150.0,20.0,401500.0,19990.0,160.0
748,2021-02-10,5.0,20149.0,19900.0,20100.0,50.0,1002490.0,20150.0,-50.0
749,2021-02-11,9.0,20000.0,19700.0,19700.0,90.0,1782000.0,20100.0,-400.0
750,2021-02-14,6.0,19500.0,19251.0,19500.0,80.0,1557510.0,19700.0,-200.0
751,2021-02-15,3.0,19600.0,19500.0,19600.0,30.0,586000.0,19500.0,100.0
752,2021-02-16,5.0,19700.0,19570.0,19570.0,50.0,982200.0,19600.0,-30.0
753,2021-02-17,7.0,19690.0,19185.0,19510.0,80.0,1556630.0,19570.0,-60.0
754,2021-02-18,9.0,19899.0,19500.0,19899.0,110.0,2174390.0,19510.0,389.0
755,2021-02-22,9.0,20296.0,19905.0,20275.0,90.0,1807210.0,19899.0,376.0
756,2021-02-23,14.0,19870.0,19204.0,19204.0,145.0,2825060.0,20275.0,-1071.0
757,2021-02-24,8.0,19750.0,18900.0,19700.0,110.0,2150100.0,19204.0,496.0
758,2021-02-28,12.0,19610.0,19000.0,19380.0,200.0,3859180.0,19700.0,-320.0
759,2021-03-01,2.0,19759.0,19500.0,19500.0,30.0,590180.0,19380.0,120.0
760,2021-03-02,5.0,19121.0,18728.0,18728.0,70.0,1322560.0,19500.0,-772.0
761,2021-03-03,2.0,18728.0,18728.0,18728.0,20.0,374560.0,18728.0,0.0
762,2021-03-04,2.0,19101.0,18722.0,18722.0,20.0,378230.0,18728.0,-6.0
763,2021-03-07,1.0,18450.0,18450.0,18450.0,10.0,184500.0,18722.0,-272.0
764,2021-03-09,1.0,18450.0,18450.0,18450.0,10.0,184500.0,18450.0,0.0
765,2021-03-10,4.0,19184.0,18800.0,19184.0,40.0,756020.0,18450.0,734.0
766,2021-03-14,5.0,19000.0,18620.0,18900.0,50.0,941250.0,19184.0,-284.0
767,2021-03-15,2.0,19200.0,18900.0,19200.0,20.0,381000.0,18900.0,300.0
768,2021-03-16,3.0,19584.0,19400.0,19400.0,30.0,585680.0,19200.0,200.0
769,2021-03-17,3.0,19700.0,19350.0,19350.0,30.0,584010.0,19400.0,-50.0
770,2021-03-18,3.0,19000.0,18965.0,18965.0,40.0,758970.0,19350.0,-385.0
771,2021-03-21,3.0,19727.0,19341.0,19500.0,30.0,585680.0,18965.0,535.0
772,2021-03-22,1.0,19600.0,19600.0,19600.0,10.0,196000.0,19500.0,100.0
773,2021-03-23,1.0,19210.0,19210.0,19210.0,10.0,192100.0,19600.0,-390.0
774,2021-03-24,12.0,19869.0,19400.0,19869.0,121.0,2368610.0,19210.0,659.0
775,2021-03-25,5.0,19990.0,19600.0,19900.0,50.0,993800.0,19869.0,31.0
776,2021-03-29,10.0,20199.0,19800.0,20100.0,100.0,1992990.0,19900.0,200.0
777,2021-03-30,2.0,20400.0,20100.0,20400.0,20.0,405000.0,20100.0,300.0
778,2021-03-31,4.0,20200.0,19992.0,20200.0,60.0,1209920.0,20400.0,-200.0
779,2021-04-01,10.0,20300.0,19797.0,20300.0,140.0,2813450.0,20200.0,100.0
780,2021-04-04,5.0,20190.0,19905.0,20190.0,50.0,1000050.0,20300.0,-110.0
781,2021-04-05,5.0,19790.0,19787.0,19787.0,50.0,989380.0,20190.0,-403.0
782,2021-04-06,3.0,20182.0,20000.0,20000.0,40.0,801820.0,19787.0,213.0
783,2021-04-07,1.0,19601.0,19601.0,19601.0,10.0,196010.0,20000.0,-399.0
784,2021-04-12,2.0,19897.0,19600.0,19897.0,20.0,394970.0,19601.0,296.0
785,2021-04-13,9.0,20049.0,19287.0,19287.0,100.0,1980410.0,19897.0,-610.0
786,2021-04-15,7.0,19500.0,19150.0,19500.0,80.0,1542510.0,19287.0,213.0
787,2021-04-18,1.0,19300.0,19300.0,19300.0,10.0,193000.0,19500.0,-200.0
788,2021-04-19,4.0,19300.0,19201.0,19201.0,50.0,961060.0,19300.0,-99.0
789,2021-04-20,3.0,19294.0,18916.0,19294.0,30.0,575030.0,19201.0,93.0
790,2021-04-21,5.0,19500.0,19260.0,19300.0,50.0,966600.0,19294.0,6.0
791,2021-04-22,1.0,19440.0,19440.0,19440.0,10.0,194400.0,19300.0,140.0
792,2021-04-25,3.0,19433.0,19045.0,19045.0,30.0,575300.0,19440.0,-395.0
793,2021-04-26,4.0,19095.0,19000.0,19095.0,40.0,762350.0,19045.0,50.0
794,2021-04-27,2.0,19476.0,19400.0,19476.0,20.0,388760.0,19095.0,381.0
795,2021-04-28,3.0,19600.0,19450.0,19450.0,30.0,585500.0,19476.0,-26.0
796,2021-04-29,2.0,19062.0,19061.0,19062.0,20.0,381230.0,19450.0,-388.0
797,2021-05-02,5.0,19430.0,19000.0,19000.0,50.0,958610.0,19062.0,-62.0
798,2021-05-03,5.0,19279.0,18901.0,18902.0,50.0,953610.0,19000.0,-98.0
799,2021-05-04,6.0,18903.0,18625.0,18851.0,61.0,1146941.0,18902.0,-51.0
800,2021-05-05,7.0,19100.0,18705.0,18705.0,90.0,1699230.0,18851.0,-146.0
801,2021-05-06,1.0,19079.0,19079.0,19079.0,10.0,190790.0,18705.0,374.0
802,2021-05-09,1.0,19079.0,19079.0,19079.0,10.0,190790.0,19079.0,0.0
803,2021-05-11,11.0,19550.0,19079.0,19550.0,116.0,2252270.0,19079.0,471.0
804,2021-05-12,55.0,21505.0,19159.0,21430.0,875.0,17944995.0,19550.0,1880.0
805,2021-05-13,32.0,23180.0,20993.0,21100.0,330.0,7254850.0,21430.0,-330.0
806,2021-05-16,15.0,21350.0,20950.0,21300.0,160.0,3389200.0,21100.0,200.0
807,2021-05-17,10.0,21650.0,20900.0,21030.0,115.0,2421350.0,21300.0,-270.0
808,2021-05-18,15.0,21100.0,20613.0,21070.0,150.0,3130740.0,21030.0,40.0
809,2021-05-19,6.0,20899.0,20651.0,20899.0,60.0,1245070.0,21070.0,-171.0
810,2021-05-20,9.0,21130.0,20483.0,20483.0,95.0,1955205.0,20899.0,-416.0
811,2021-05-23,4.0,20400.0,20150.0,20150.0,40.0,812000.0,20483.0,-333.0
812,2021-05-24,6.0,20552.0,20141.0,20150.0,80.0,1617350.0,20150.0,0.0
813,2021-05-25,9.0,20552.0,19900.0,20000.0,110.0,2210590.0,20150.0,-150.0
814,2021-05-27,13.0,20400.0,19676.0,20000.0,145.0,2919750.0,20000.0,0.0
815,2021-05-30,20.0,20800.0,20000.0,20200.0,255.0,5218550.0,20000.0,200.0
816,2021-05-31,8.0,20300.0,20000.0,20300.0,80.0,1609990.0,20200.0,100.0
817,2021-06-01,5.0,20000.0,19894.0,19894.0,50.0,998440.0,20300.0,-406.0
818,2021-06-02,4.0,20000.0,19894.0,20000.0,55.0,1089375.0,19894.0,106.0
819,2021-06-03,9.0,20200.0,19826.0,19826.0,95.0,1897670.0,20000.0,-174.0
820,2021-06-06,9.0,20000.0,19600.0,19600.0,90.0,1776720.0,19826.0,-226.0
821,2021-06-07,6.0,19810.0,19700.0,19725.0,90.0,1777975.0,19600.0,125.0
822,2021-06-08,8.0,20050.0,19610.0,19610.0,90.0,1787200.0,19725.0,-115.0
823,2021-06-09,4.0,19320.0,19310.0,19310.0,45.0,869150.0,19610.0,-300.0
824,2021-06-10,3.0,19696.0,19412.0,19412.0,30.0,585210.0,19310.0,102.0
825,2021-06-13,8.0,19740.0,19451.0,19740.0,80.0,1573910.0,19412.0,328.0
826,2021-06-14,12.0,20000.0,19600.0,19998.0,141.0,2800464.0,19740.0,258.0
827,2021-06-15,5.0,19998.0,19816.0,19998.0,60.0,1191960.0,19998.0,0.0
828,2021-06-16,9.0,20397.0,19700.0,19700.0,90.0,1801970.0,19998.0,-298.0
829,2021-06-17,7.0,20094.0,19800.0,20000.0,70.0,1394870.0,19700.0,300.0
830,2021-06-20,3.0,19604.0,19604.0,19604.0,40.0,784160.0,20000.0,-396.0
831,2021-06-21,3.0,19300.0,19221.0,19221.0,30.0,577420.0,19604.0,-383.0
832,2021-06-22,5.0,19997.0,19605.0,19990.0,50.0,995720.0,19221.0,769.0
833,2021-06-23,5.0,20300.0,19900.0,20139.0,50.0,1005080.0,19990.0,149.0
834,2021-06-24,3.0,20130.0,19737.0,20130.0,30.0,596170.0,20139.0,-9.0
835,2021-06-27,6.0,20500.0,19700.0,20089.0,60.0,1202290.0,20130.0,-41.0
836,2021-06-28,4.0,20000.0,19700.0,19700.0,40.0,796900.0,20089.0,-389.0
837,2021-06-29,6.0,20090.0,19800.0,19900.0,65.0,1298080.0,19700.0,200.0
838,2021-06-30,3.0,20000.0,19995.0,19995.0,30.0,599950.0,19900.0,95.0
839,2021-07-01,3.0,19800.0,19600.0,19650.0,30.0,590500.0,19995.0,-345.0
840,2021-07-04,2.0,19350.0,19350.0,19350.0,20.0,387000.0,19650.0,-300.0
841,2021-07-05,1.0,19700.0,19700.0,19700.0,10.0,197000.0,19350.0,350.0
842,2021-07-06,5.0,19700.0,19306.0,19700.0,54.0,1055818.0,19700.0,0.0
843,2021-07-07,5.0,19351.0,19315.0,19315.0,60.0,1160360.0,19700.0,-385.0
844,2021-07-08,4.0,19800.0,19698.0,19800.0,40.0,788990.0,19315.0,485.0
845,2021-07-11,1.0,19980.0,19980.0,19980.0,10.0,199800.0,19800.0,180.0
846,2021-07-12,1.0,19900.0,19900.0,19900.0,10.0,199000.0,19980.0,-80.0
847,2021-07-13,4.0,19790.0,19503.0,19790.0,40.0,785530.0,19900.0,-110.0
848,2021-07-15,8.0,19441.0,19395.0,19395.0,180.0,3492310.0,19790.0,-395.0
849,2021-07-18,3.0,19800.0,19780.0,19790.0,30.0,593700.0,19395.0,395.0
850,2021-07-19,17.0,20185.0,19600.0,19600.0,230.0,4587900.0,19790.0,-190.0
851,2021-07-20,4.0,20349.8,19900.0,19900.0,40.0,805418.0,19600.0,300.0
852,2021-07-22,3.0,20298.0,19989.7,19989.7,40.0,808837.0,19900.0,89.7
853,2021-07-25,11.0,20388.0,19981.0,20200.0,110.0,2225475.0,19989.7,210.3
854,2021-07-26,4.0,20300.0,20200.0,20250.0,50.0,1013470.0,20200.0,50.0
855,2021-07-27,2.0,20449.8,20100.0,20100.0,20.0,405498.0,20250.0,-150.0
856,2021-07-28,7.0,20500.0,20100.1,20100.1,75.0,1521636.5,20100.0,0.1
857,2021-07-29,1.0,19698.1,19698.1,19698.1,10.0,196981.0,20100.1,-402.0
858,2021-08-01,8.0,20493.0,20092.0,20175.0,90.0,1823480.0,19698.1,476.9
859,2021-08-02,1.0,20375.0,20375.0,20375.0,10.0,203750.0,20175.0,200.0
860,2021-08-03,9.0,20000.0,19602.0,19602.0,100.0,1989778.0,20375.0,-773.0
861,2021-08-04,6.0,20298.0,19900.0,20298.0,60.0,1207940.0,19602.0,696.0
862,2021-08-05,10.0,20000.0,19608.0,19608.0,110.0,2161089.0,20298.0,-690.0
863,2021-08-08,6.0,19990.0,19590.2,19590.2,78.0,1550253.0,19608.0,-17.8
864,2021-08-09,1.0,19982.0,19982.0,19982.0,10.0,199820.0,19590.2,391.8
