,Date,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
233,2020-10-28,3.0,3645.0,3580.0,3580.0,30.0,108050.0,3624.0,-44.0
234,2020-10-29,16.0,3640.0,3590.0,3620.0,876.0,3161870.0,3580.0,40.0
236,2020-11-02,55.0,3845.0,3660.0,3725.0,1750.0,6584345.0,3656.0,69.0
237,2020-11-03,30.0,3869.0,3799.0,3869.0,1044.0,3993776.0,3725.0,144.0
238,2020-11-04,14.0,3900.0,3869.0,3890.0,435.0,1692050.0,3869.0,21.0
239,2020-11-05,18.0,3890.0,3850.0,3888.0,1080.0,4193210.0,3890.0,-2.0
240,2020-11-08,101.0,4276.0,3888.0,4275.0,5058.0,21082871.0,3888.0,387.0
241,2020-11-09,63.0,4701.0,4273.0,4500.0,1670.0,7610420.0,4275.0,225.0
242,2020-11-10,75.0,4950.0,4500.0,4950.0,2478.0,11762819.0,4500.0,450.0
243,2020-11-11,84.0,5445.0,5049.0,5445.0,2680.0,14580910.0,4950.0,495.0
244,2020-11-12,103.0,5989.0,5553.0,5989.0,3543.0,21171542.0,5445.0,544.0
245,2020-11-18,105.0,6587.0,6108.0,6587.0,4067.0,26743994.0,5989.0,598.0
246,2020-11-19,102.0,7245.0,6916.0,7242.0,2787.0,20018093.0,6587.0,655.0
247,2020-11-22,110.0,7966.0,6518.0,6801.0,2398.0,17367766.0,7242.0,-441.0
248,2020-11-23,77.0,7400.0,6200.0,6900.0,1728.0,11375000.0,6801.0,99.0
249,2020-11-24,154.0,7590.0,6900.0,7450.0,4075.0,30411488.0,6900.0,550.0
250,2020-11-25,66.0,8189.0,7505.0,8000.0,1866.0,14768065.0,7450.0,550.0
251,2020-11-26,78.0,7996.0,7407.0,7506.0,2131.0,16408960.0,8000.0,-494.0
252,2020-11-29,168.0,7809.0,7400.0,7500.0,4532.0,34483461.0,7506.0,-6.0
253,2020-11-30,112.0,6600.0,6300.0,6550.0,2879.0,18908900.0,6000.0,550.0
254,2020-12-01,85.0,6800.0,6003.0,6255.0,1759.0,11233927.0,6550.0,-295.0
255,2020-12-02,53.0,6600.0,6027.0,6125.0,2003.0,12517660.0,6255.0,-130.0
256,2020-12-03,66.0,6200.0,5700.0,5700.0,1479.0,8668480.0,6125.0,-425.0
257,2020-12-06,65.0,5700.0,5262.0,5292.0,1732.0,9461563.0,5700.0,-408.0
258,2020-12-07,76.0,5619.0,4996.0,5615.0,2238.0,11944039.0,5292.0,323.0
259,2020-12-08,39.0,5505.0,5350.0,5400.0,895.0,4842465.0,5615.0,-215.0
260,2020-12-09,48.0,5340.0,5100.0,5135.0,1333.0,6913290.0,5400.0,-265.0
261,2020-12-10,36.0,5240.0,5100.0,5240.0,887.0,4578885.0,5135.0,105.0
262,2020-12-13,34.0,5300.0,5105.0,5150.0,693.0,3566113.0,5240.0,-90.0
263,2020-12-14,97.0,5665.0,5150.0,5640.0,2502.0,14047285.0,5150.0,490.0
264,2020-12-15,82.0,6103.0,5500.0,5500.0,1944.0,11149425.0,5640.0,-140.0
265,2020-12-16,49.0,5775.0,5451.0,5575.0,1816.0,10184300.0,5500.0,75.0
266,2020-12-17,42.0,5686.0,5355.0,5423.0,700.0,3845960.0,5575.0,-152.0
267,2020-12-20,63.0,5420.0,5110.0,5200.0,1533.0,8091777.0,5423.0,-223.0
268,2020-12-21,77.0,5196.0,4799.0,5060.0,1937.0,9719285.0,5200.0,-140.0
269,2020-12-22,33.0,5320.0,5161.0,5270.0,1510.0,7905660.0,5060.0,210.0
270,2020-12-23,30.0,5355.0,5190.0,5250.0,729.0,3851340.0,5270.0,-20.0
272,2020-12-27,52.0,5454.0,5150.0,5350.0,3478.0,18340670.0,5304.0,46.0
273,2020-12-28,52.0,5295.0,5139.0,5190.0,976.0,5080636.0,5350.0,-160.0
274,2020-12-29,38.0,5293.0,5185.0,5191.0,6040.0,31451420.0,5190.0,1.0
275,2020-12-30,139.0,5710.0,5250.0,5710.0,7215.0,40871842.0,5191.0,519.0
276,2020-12-31,199.0,6281.0,5700.0,6281.0,6518.0,40233176.0,5710.0,571.0
277,2021-01-03,113.0,6909.0,6406.0,6909.0,3202.0,22019048.0,6281.0,628.0
278,2021-01-04,34.0,7254.0,6777.0,6895.0,535.0,3766785.0,6909.0,-14.0
279,2021-01-05,128.0,6887.0,6210.0,6470.0,3071.0,20131645.0,6895.0,-425.0
280,2021-01-06,64.0,6848.0,6290.0,6400.0,1680.0,10805135.0,6470.0,-70.0
281,2021-01-07,110.0,7000.0,6411.0,6740.0,2589.0,17322637.0,6400.0,340.0
282,2021-01-10,169.0,7151.0,6874.0,6988.0,4839.0,33844865.0,6740.0,248.0
283,2021-01-11,70.0,7000.0,6850.0,6950.0,1795.0,12438708.0,6988.0,-38.0
284,2021-01-12,40.0,6989.0,6815.0,6900.0,948.0,6502390.0,6950.0,-50.0
285,2021-01-13,42.0,6949.0,6801.0,6930.0,842.0,5808915.0,6900.0,30.0
286,2021-01-17,150.0,7623.0,7068.0,7623.0,3197.0,23589247.0,6930.0,693.0
287,2021-01-18,132.0,8385.0,7775.0,8100.0,2903.0,23690900.0,7623.0,477.0
288,2021-01-19,102.0,8500.0,7575.0,8174.0,3659.0,28996859.0,8100.0,74.0
289,2021-01-20,77.0,8200.0,7938.0,8180.0,2213.0,17855126.0,8174.0,6.0
290,2021-01-21,40.0,8200.0,8050.0,8199.0,1171.0,9535380.0,8180.0,19.0
291,2021-01-24,73.0,8213.0,7900.0,8000.0,1779.0,14289335.0,8199.0,-199.0
292,2021-01-25,83.0,8800.0,8000.0,8250.0,1507.0,12565800.0,8000.0,250.0
293,2021-01-26,41.0,8400.0,7994.0,7995.0,900.0,7355722.0,8250.0,-255.0
294,2021-01-27,57.0,8200.0,7995.0,8100.0,1471.0,11898590.0,7995.0,105.0
295,2021-01-28,81.0,8427.0,7950.0,8100.0,1515.0,12407145.0,8100.0,0.0
296,2021-01-31,72.0,8200.0,8000.0,8050.0,2157.0,17442442.0,8100.0,-50.0
297,2021-02-01,54.0,8210.0,8050.0,8200.0,2008.0,16384940.0,8050.0,150.0
298,2021-02-02,95.0,8350.0,8071.0,8300.0,2824.0,23402996.0,8200.0,100.0
299,2021-02-03,95.0,8305.0,8100.0,8100.0,2518.0,20656686.0,8300.0,-200.0
300,2021-02-04,211.0,8525.0,8061.0,8499.0,6874.0,57426488.0,8100.0,399.0
301,2021-02-07,121.0,9015.0,8499.0,8712.0,2993.0,26299675.0,8499.0,213.0
302,2021-02-08,42.0,8900.0,8562.0,8650.0,904.0,7920444.0,8712.0,-62.0
303,2021-02-09,67.0,8823.0,8374.0,8489.0,1613.0,13715833.0,8650.0,-161.0
304,2021-02-10,149.0,8485.0,8193.0,8193.0,3800.0,31442402.0,8489.0,-296.0
305,2021-02-11,67.0,8399.0,8030.0,8070.0,1086.0,8859143.0,8193.0,-123.0
306,2021-02-14,95.0,8105.0,7851.0,7998.0,7193.0,56736027.0,8070.0,-72.0
307,2021-02-15,62.0,8320.0,8157.0,8215.0,1897.0,15623663.0,7998.0,217.0
308,2021-02-16,40.0,8377.0,8100.0,8100.0,983.0,8048755.0,8215.0,-115.0
309,2021-02-17,58.0,8279.0,8074.0,8279.0,2288.0,18677335.0,8100.0,179.0
310,2021-02-18,124.0,8612.0,8145.0,8500.0,4666.0,39328603.0,8279.0,221.0
